
# Begin A's
# Page 1 Column 1
ABAK Aback
amelrash amelioration
amnb amenable
amnd amend
amndb amendable
amnm amendment
am^nt amenity

# Page 7 Column 2
am America
amn American
amthest amethyst
am^b amiability
amb amiable
amek^b amicability
amekb amicable
amedus amidships
ameds amidst
ames amiss
amete amity
amma&' ammonia
amunsh ammunition
amneste amnesty
mng among
mngs amongst
amrus amoruos
amt amount
ampar ampere
ampnom amperometer
amjeba&' amphibia
amjebus amphibious
? amfeb^o amphibology
amfthet amphitheater
amp ample
amp^v amplification
ampkef amplify

# Page 7 Column 3
ampketu amplitude
amput amputate
ampush amputation
amulet amulet
amus amuse
amusm amusement
amus^e amusingly
anakron anachronism
anema&' anaemia
anemek anaemic
anisthe anaesthesia
anest^a anaesthetic
am^g anagram
an^g^a anagrammatic
am^g^a| anagrammatical
an^e analogical
analg analogous
an^o analogy
analss analysis
analas analyst
anal^a| alalytical
analis analyze
anrk^k anarchical
anrkes anarchist
anrke anarchy
anaatm^k anatomical
anatme anatomy

# Page 8 Column 1
anss ancestor
anssrl ancertorial
anssl ancestral
anssre ancestry
ankr anchor
ankrj anchorage
anchove anchovy
ansht ancient
anselre ancillary
andnta andante
ndin andiron
anecdt anecdote
anent anent
anj angel
anl^k angelical
ange anger
angl angle
anglr angler
angam Anglo-American
angsax Anglo-Saxon
angora Angora
angra| angrily
angre angry
ange_sh anguish
? angel angular
? angu^r angularity
anelen aniline

# Page 8 Column 2
anem animal
anemat animate
anemsh animation
anen^s) animisity
anemus animus
ankl ankle
anals annals
anel anneal
anex annex
anexsh annexation
anila annihilate
anilash annihilation
anev anniversary
a\d Anno Domini
anota annotate
anotsh annotation
anns announce
annsmn announcement
anoe annoy
anoens annoyance
anl annual
anle annually
anute annuity
anul annul
anulmn annulment
annsash annunciation
anunca^r annunciator

# Page 8 Column 3
anodan anodyne
anoent anoint
anom anomalous
anoma anomaly
anon anonymous
nuth another
ans answer
ansb answerable
ansl answerless
a^g antagonist
a^g^st antagonistic
a^gnis antagonize
a^rktek antarctic
a^sed antecede
a^sedns antecedence
? a^sedn antecedent
a^ssr antecessor
a^cham antechamber
a^d antedate
a^del antediluvian
a^lop antelope
a^me~da&'n antemeridian
a^ mndan antemundane
a^np antenuptial
a^pask antepaschal
a^pene~l antepenult
a^prand anteprandial

# Page 10 Column 1
ape~tn appertain
apti appetite
aptis^e appetizingly
aplod applaud
aplus applause
apl apple
apla&ens appliance
aplek^b applicability
aplek applicant
aplsh application
aleka, applique
apli apply
oi appoint
oi^b appointable
? oie appointee
oi^r appointer
oimn appointment
aporsh apportion
apurshmn apportionment
apis apposite
aposh apposition
apostv appositive
apras appraise
pareshb appreciable
apresh appreciate
apresh appreciation
apreshv appreciative
aprend apprehend

# Page 10 Column 2
aprens^b apprehensibility
aprensb appbrehensible
aprensh apprehension
aprensv apprehensive
aprentes apprentice
apris apprise
aprch approach
aprshb approachable
aprbash approbation
? aprprb appropriable
aprprat appropriate
aprprash appropriation
aprva approval
aprv approve
aprx approximate
aprxsh approximation
apetns appurtenance
aprekt apricot
apr April
aprn apron
aprpo apropos
aptet aptitude
apte aptly
apt-n aptness
ak^a aquatic
ace_duc aqueduct
? akeu_s aqueous

# Page 10 Column 3
ake_ren aquiline
arabn Arabian
arabk Arabic
arbte~ arbiter
arb arbitrary
arbtra arbitrate
arbtrash arbitration
arborel arboreal
arbtus arbutus
ark arc
arkada&' Arcadia
arkanm arcanum
a~ch arch
? a~k^oe archaeography
? ark^o archaeology
arkak archaic
arknj archangel
a~chbesh archbishop
a~chdekn archdeacon
a~chda&ess archdiocese
a~chduk archduke
a~kpelg archipelago
aktek architect
aktek^l architectural
aktekt architecture
arkiv archive
a`cha_ archway

# Page 11 Column 1
arktek arctic
a~dnt ardent
a~dr ardor
a~dus arduous
ara&' area
arfeksh arefaction
aromete~ areometer
agnt argent
agnten argentine
argnot Argonaut
argose Argosey
argo argot
ageu argue
agmn argument
argus Argus
aredte aridity
aris arise
aresto aristocracy
arestok aristocrat
areth arithmetic
areth^a| arithmetical
arethmetsh arithmetician
ark ark
a~m arm
a~mada armada
a~mamn armament
a~matr armature

# Page 11 Column 2
a~mcha~ armchair
a~mna&'n Armenian
a~mf armful
a~m'ol armhole
a~mestes armistice
a~mre armory
a~me army
a~neka arnica
aroma aroma
arom^a aromatic
arnd around
araus arouse
aran arraign
aramn arraignment
ara arrange
ara arrangement
arant arant
ara array
ares arrest
ari arrive
ari arrival
arogns arrogance
arog arrogant
arogat arrogate
aro arrow
arsnl arsenal
arsnek arsenic
arsn arson
a~t art

# Page 11 Column 3
a~tre artery
a~tesh artesian
a~tf artful
a~rfn artfulness
a~tchk artichoke
a~t^k article
a~teklr articular
a~teklre articulary
a~tek^u articulate
a~tek^ush ariculation
a~tek^uv articulative
a~tek^ur articulator
a~tfes artifice
a~tfesh artificial
a~tel artillery
a~tesn artisan
a~tes artist
a~t^st artistic
a~testre artistry
a~tl artless
a~tln artlesseness
asbes asbestos
asend ascend
asen-dnse ascendancy
asen-dn ascendant
asensh ascension
asent ascent

# Page 12 Column 1
astn ascertain
as^a ascetic
asetss asceticism
askrb ascribable
askr ascribe
askrsh ascription
aseptek aseptaic
ash ash
ashamd ashamed
ashn ashen
ashor ashore
as^a Asiatic
asi aside
aseni asinine
sen^nt asininity
sk ask
aslep asleep
asparg asparagus
aspk aspect
aspn aspen
asp^r asperity
asprsh aspersion
asfelt asphalt
? asjesa&' asphyxia
? asfesa&'t asphyxiate
? asfesa&'sh asphyxiation
aspi^nt aspirant

# Page 12 Column 2
aspea aspirate
asprash aspiration
aspi aspire
asal assail
asalb assailable
asalnt assailant
assn assassin
assnat assassinate
assnsh assassination
asolt assault
asa assay
asar assayer
asemj assemblage
asem^ns assemblance
asem assemble
asem assembly
asent assent
ase~t assert
ase~te~ asserter
asesh assertion
ass assess
assmn assessment
assr assessor
assrsh assessorship
aset asset
asevra asseverate
asedute assiduity
asedus assiduous

# Page 12 Column 3
asin assign
asin^b assignability
asinb assignable
asegtnsh assignation
asene assignee
asimn assignment
asinr assignor
asemelsh assimilation
asemel^v assimilative
asemila assimilate
sst assist
sstns assistance
sstnt assistant
asiz asize
ashosht associate
asosh association
ashoshtv associative
asot assort
asotmn assortment
asa_j assuage
asa_jmn assuagement
asmb assumable
asm assume
asmsh assumption
ashuns assurance
ashu assure
asera&'n Assyrian

# Page 13 Column 1
aste~ aster
astresk asterisk
asten astern
astroi asteroid
asma asthma
asm^a asthmatic
astegnat astigmatism
aste~ astir
astnsh astonish
astnd astound
astrkn astrakhan
astrl astral
astra astray
atri astride
astrenjse astringency
astrengnt astringent
astr^oi astrography
? astr^o astrology
astrmete~ astrometer
astron^r astronomer
astromek astronomic
astron astronomy
astut astute
asndr asunder
asilm asylum
atela, atelier
athesm atheism

# Page 13 Column 2
athest atheist
ath^st atheistic
ath^stl atheistical
athenem atheneum
athlet athlete
athl^a athletic
athl^as athletics
atho_t athwart
atl^n Atlantic
atlas atlas
at-mos atmosphere
at-mosk atmospheric
at-mos^k atmospherical
atm aton
atm^k atomical
atmiz atomize
atonb atonable
atomn atonement
atros atrocious
atr^s) atrocity
atrfe atrophy
atrpn atropine
atch attach
atcha, attache
atchmn attachment
atac attack
atn attain

# Page 13 Column 3
atm^b attainability
atnb attainable
? atn-mn attainment
ata~ attar
armt attempt
atn-d attend
atn-dns attendance
atn-dn attendant
tnsh attention
atntv attentive
atneut attenuate
atneush attenuation
ates attest
? ates-sh attestation
atek attic
ati~ attire
atet attitude
atne attorney
atne^sh attorneyship
atrk attract
artksh attraction
atrkv attractive
atreb attribute
atrebsh attribution
atresh attrition
atun attune
obe~n auburn

# Page 14 Column 1
oksh auction
okshe` auctioneer
odashus audacious
od^s) audacity
od^b audibility
odb audible
odns audience
odt audit
odtr auditor
odtrem auditorium
ogmn augment
ogmnsh augmentation
ogmn^v augmentative
ogr augur
og August
ant aunt
oneol aureole
or^k auricle
orora aurora
oskult auscultate
uskulsh auscultation
uspess auspices
ospesh auspicious
oste~ austere
ust^r austerity
oth^n authentic
oth^na| authentically

# Page 14 Column 2
oth^nat authenticate
othnt^s) authenticity
othr author
orthtv authoritative
oth^r authority
othrezsh authorization
othriz authorize
othrsh authorship
otb^or autobiographer
otb^oi autobiography
otokrse autocracy
otok autocrat
otok^a autocratic
ot^o autograph
ot^ok autographic
ot^oi autography
otm^a automatic
otm^a| automatical
otmatsm automatism
otmatn automaton
otnome autonomy
otpse autopsy
otm autumn
otoml autumnal
oselre auxiliary
aval avail
avalb available

# Page 14 Column 3
avlanch avalanche
avares avarice
avaresh avaricious
avenj avenge
avnu avenue
aver aver
avrj average
avers averse
ave~t avert
ava&'re aviary
ava&'sh aviation
ava&'tr aviator
aved avid
avedte avidity
avkash avocation
voi avoid
voi^b avoidable
voins avoidance
avdpoi avoirdupois
avau avow
'uat await
'uak awake
'uakn^' awakening
'uod award
'a_r aware
'ua away
o. awe

# Page 15 Column 1
osm awesome
of awful
'il awhile
okd awkward

# Page 15 Column 2
on' awning
ari awry
akx ax
aksem axiom

# Page 15 Column 3
aksem^a axiomatic
akxs axis
aksl axle
? ashu azure

