
# Begin T's
# Page 179 Column 1
tnashus tenacious
tn^s) tenacity
tnanse tenancy
tnnt tenant
tnntl tenantless
tn-d tend
tn-dnses tendencies
tn-dnse tendency
tn-de~ tender
tn-de~e tenderly
tn-de~^n tenderness

# Page 181 Column 1
tn-dn tendon
tnem tenement
tnet tenet
tnes tennis
tnr tenor
tns tense
tnsel tensile
tnsh tension
tn-t tent
tn-t^k tentacle
tn-tatv tentative
tnute tenuity
tnus tenuous
tneur tenure
tepd tepid
tepdte tepidity
tem term
temag termagant
temnl terminal
temnat terminate
temnsh termination
temnus terminus
teras terrace
terestrl terrestrial
terb terrible
terer terrier
terefk terrific

# Page 181 Column 2
teref terrify
te~tl territorial
te~ta| territorially
te~t territory
terr terror
terres terrorist
terriz terrorize
ters terse
terse tersely
tershre tertiary
test test
testam testament
testatr testator
? testatrex testatrix
teste~ tester
? testf^r testifier
? testf testify
testm testimonial
testme testimony
tetnus tetanus
tata tete-a-tete
teth tether
tutn teuton
tutnek teutonic
tex text
texbk textbook
textl textile

# Page 181 Column 3
textul textual
textr texture
thanatopss thanatopsis
th' thank
th^f thankful
th^l thankless
th^sge' thanksgiving
tha that
thach thatch
tho thaw
th the
thete~ theater
thetr^k theatrical
theft theft
th) their
thm them
them theme
thn then
thens thence
thensfth thenceforth
thensfd thenceforward
thekrse theocracy
the^on theologian
? the^o theology
ther^a| theoretical
theres theorist
theriz theorize

# Page 182 Column 1
there theory
thosfes theosophist
thosfe theosophy
th) there
# under ITH on prefix
? th)abs thereabouts
? th)af thereafter
? th)t thereat
? th)b thereby
? th)f therefore
tho thereof
thon thereon
? th)tu thereto
? th)n-tu thereunto
? th)pn thereupon
? th)eth
th)eml thermal
th)emm thermometer
th)emostat thermostat
thesrus thesaurus
thes these
thess thesis
the they
thek thick
thekn thicken
theket thicket
theknes thickness
thef thief

# Page 182 Column 2
thevre thievery
thevesh thievish
thi thigh
themb thimble
then thin
thin thine
th' thing
th' think
th^b thinkable
th^r thinker
thenn thinness
th)ed third
thers thirst
therste| thirstily
th)ete thirty
thesl thistle
theth thither
thong thong
thorax thorax
? thon thorn
thone thorny
th)e thorough
th)e thoroughly
th)e^b thoroughbred
th)e^f thoroughfare
th)en thoroughness
? ths( those

# Page 182 Column 3
thau thou
thot thought
thotf thoughtful
thotl thoughtless
thau thousand
thau^th thousandth
throl thrall
thrash thrash
thrashe~ thrasher
thred thread
thret threat
thretn threaten
th)e three
threshld threshold
thris thrice
threft thrift
threften thriftiness
thriv thrive
throt throat
throb throb
thron throne
throng throng
throtl throttle
thru through
thrut throughout
thro throw
thror thrower

# Page 183 Column 1
thron thrown
thrm thrum
thrsh thrush
thrust thrust
thud thud
thug thug
th)m thumb
th)mp thump
th)ndr thunder
th)ndrbolt thunderbold
thrs thursday
thus thus
tha_k thwack
tho_t thwart
tim thyme
thiroe thyroid
this thyself
ta&era tiara
teket ticket
tekl tickle
tidl tidal
tid tide
tido_te~ tidewater
tide tidy
te~ tier
tefn tiffin
tigr tiger

# Page 183 Column 2
titn tighten
tmbr timber
tm time
tmkp timekeeper
tml timeless
tme timely
tm-tb time-table
tmed timid
tmedte timidity
tmrus timorous
tmthe timothy
tenksh tinction
tenktr tincture
tengl tingle
tenke~ tinker
tenkl tinkle
tnsel tinsel
tn-t tint
tn-tnab^ush tintinnabulation
tn-tip tintype
tine tiny
tept tippet
tepse tipsy
tepto tiptoe
tira tirade
ti~ tire
tirsm tiresome

# Page 183 Column 3
tshu tissue
titn titan
titnek titanic
tith tithe
tit title
tet-maus titmaus
tetlr titular
tu to
tod toad
tosmas toastmaster
tmak tobacco
tbaknes tobacconist
tobgn toboggan
toksen tocsin
tda today
to toe
toga toga
tog together
toelr toiler
toelet toilet
toka tokay
tokn token
tolr^b tolerability
tolrb tolerable
tolrbn tolerableness
tolrns tolerance
tolrant tolerant

# Page 184 Column 1
tolra tolerate
tolrash toleration
tol toll
tom'ok tomahawk
tmato tomato
tumstone tombstone
tmo tomorrow
ton tone
t-ng tongue
tonek tonic
tni tonight
t-nj tonnage
tnsel tonsil
tnselr tonsillar
tnsel^ts tonsillitis
tnsorl tonsorial
tn-ten tontine
tu too
tuk took
tul tool
tut toot
tuth tooth
tuthak toothache
tuthpek toothpick
toth)sm toothsome
top top
topaz topaz

# Page 184 Column 2
tpk topic
tp^k topical
tkmo topmost
top^r topographer
top^ok topographic
top^okl topographical
top^oe topography
tok toque
torch torch
tomn-t torment
tomn-tr tormentor
tonado tornado
topdo torpedo
topd torpid
topdte torpidity
torpr torpor
torent torrent
trensh torrential
tored torrid
torso torso
totus tortoise
totuus tortuous
totr torture
totrus torturous
tot total
tot^l totality
totezsh totalization

# Page 184 Column 3
totm totem
tote~ totter
tch touch
tuf tough
tufn toughen
tpe toupee
tur tour
tures tourist
tenam tournament
teneket tourniquet
taut tout
tod toward
taul towel
taur tower
t-n town
t-nsh township
? toxk toxic
? toxn toxin
toe toy
tras trace
trasb traceable
traka&' trachea
trakoma trachome
trk track
trkt tract
trkt^b tractability
trktb tractable

# Page 185 Column 1
trktbn tractableness
trktl tractile
trksh traction
tra trade
tradsmn tradesman
tradsh tradition
tradshl traditional
tradshlsm traditionalism
tradshl^st traditionalistic
tradus traduce
traf traffic
trajdn tragedian
trajde tragedy
trajk tragic
traj^kn tragicalness
tral trail
trane~ trainer
tratr traitor
tratrus traitorous
traml trammel
tramp tramp
trampl trample
trama_ tramway
trans trance
trank tranquil
trankezsh tranquilization
trank^l tranquillity

# Page 185 Column 2
t^ak transact
t^aksh transaction
t^atl transatlantic
t^nd transcend
t^nd-nt transcendent
t^nd-ntl transcendental
t^nd-ntlsm transcendentalism
t^ktn-nt transcontinental
t^kr transcribe
t^kr transcript
t^krsh transcription
t^ep transept
t^f transfer
t^fer^b transferability
t^ferb transferable
t^fgr transfigure
t^fex transfix
t^fm transform
t^fmsh transformation
t^fme~ transformer
t^feu transfuse
t^feush transfusion
t^gres transgress
t^gresh transgression
t^gresr transgressor
t^st transient
t^t transit

# Page 185 Column 3
t^esh transition
t^tv transitive
t^tre transitory
t^la translate
t^lash translation
t^latr translator
t^let transliterate
t^lok translocate
t^lusnt translucent
t^meg transmigrate
t^megsh transmigration
t^mes^b transmissibility
t^mesb transmissible
t^msh transmission
t^met transmit
t^mut transmute
t^m transom
t^par transparent
t^pi transpire
t^plant transplant
t^por transport
t^porsh transportation
t^po transpose
t^posh transposition
t^s-stn transubstantiate
t^s-stnsh transubstantiation
t^vesl transversal

# Page 186 Column 1
t^ves transverse
trapdor trapdoor
trapez trapeze
trapezm trapezium
trapezoe trapezoid
trash trash
traval travail
trav travel
trav^r traveler
travesb traversable
traves traverse
traveste travesty
trechus treacherous
trechusn treacherousness
trechre treachery
tr^k treacle
tredl treadle
tredmel treadmill
tresn treason
tresb treasonable
tresbn traversableness
tresh treasure
tresh^r treasurer
tresh^re treasury
tretes treatise
? tret-m treatment
trete treaty

# Page 186 Column 2
treb treble
tre tree
treles trellis
tremb tremble
tremnus tremendous
tremnusn tremendousness
tremr tremor
tremlus tremulous
tremlusn tremulousness
trenchant trenchant
trend trend
trefin trephine
trepdsh trepidation
trespas trespass
tresl trestle
tra&ed triad
tril trial
tra&eng triangle
tra&engu triangular
tra&e^r triangularity
trirke triarchy
treb^ush tribulation
tribnl tribunal
treb^re tributary
trebt tribute
trisnl tricennial
triseps triceps

# Page 186 Column 3
trkina trichina
trknoss trichinosis
trek trick
trekre trickery
treken trickiness
trekl trickle
tricol tricolor
trikuspd tricuspid
tris^k tricycle
tridn-t trident
tra&enl triennial
trif trifle
triflr trifler
trifm triform
trif^mt triformity
tregr trigger
tregnl trigonal
tregnomet trigonometric
tregnom trigonometry
trigraf trigraph
tr'a&edrn trihedron
trilat trilateral
trilema trilemma
? trilena&'~ trilinear
trileng trilingual
trilet triliteral
trel trill

# Page 187 Column 1
treln trillion
trelem trillium
trelje trilogy
trem trim
trimmbrl trimembral
trimeste~ trimester
trimestrl trimestrial
tremete~ trimeter
treme~ trimmer
? trem-n trimness
tr^nt trinity
trenket trinket
trinom trinomial
treo trio
trep trip
trip tripe
tripdl tripedal
trepl triple
treplet triplet
treplek triplicate
trepleksh triplication
trepl^s) triplicity
tripd tripod
trepr tripper
trisek trisect
triseksh trisection
? traselb trisyllable

# Page 187 Column 2
trit trite
trimf triumph
trimfl triumphal
trimfnt triumphant
trimvr triumvir
tri^nt triunity
trivlens trivalence
trivlent trivalent
trev trivial
trev^l triviality
troke troche
trol troll
trolr troller
trole trolley
trombon trombone
trup troop
trupr trooper
trofe trophy
trpk tropic
trp^k tropical
troth troth
trote~ trotter
trbdur troubadour
trb trouble
trbsm troublesome
trbus troublous
trof trough

# Page 187 Column 3
trns trounce
trausrs trousers
truso trousseau
traut trout
traul trowel
troe troy
trunse truancy
trunt truant
trus truce
trusl truceless
truk truck
trukeu truculence
trj trudge
tru true
trun trueness
true truly
trmp trump
trmpre trumpery
trmpt trumpet
trmpte~ trumpeter
trnkl truncal
trnkat truncate
trnch truncheon
trndl trundle
trnk trunk
trnkf trunkful
trs trust

# Page 188 Column 1
trse trustee
trse^sh trusteeship
trs^r truster
trsf trustful
trsthe trustworthy
trsthen trustworthiness
tr truth
trf truthful
tri try
trest tryst
tub tub
teub tube
tbrkeu tubercular
tbrkeulen tuberculin
tbrkeuloss tuberculosis
tbrus tuberous
tuk tuck
tus tuesday
tuft tuft
tug tug
teush tuition
tulep tulip
tul tulle
t-mb tumble
t-mb^r tumbler
t-mb^rf tumblerful
tumr tumor

# Page 188 Column 2
tumul tumult
tumulus tumultuous
tun tune
tunf tuneful
tunl tuneless
t-ngstn tungsten
tunek tunic
t-nl tunnel
trbn turban
trbd turbid
trbd-n turbidness
trbn turbine
trblens turbulence
trblent turbulent
turen tureen
terf turf
terk turk
trke turkey
trkesh turkish
temoe turmoil
ten turn
ten-kot turncoat
tene~ turner
tenep turnip
ten-ke turnkey
tenau turnout
ten^o turnover

# Page 188 Column 3
tenpik turnpike
tensti~ turnstile
trpntin turpentine
trkoe turquoise
teret turret
te~tl turtle
tusk tusk
tusuk tussock
tutlj tutelage
tutr tutor
tutrj tutorage
tutrsh tutorship
? tuxedo tuxedo
to_dl twaddle
ta_n twain
ta_ng twang
te_k tweak
te_d tweed
te_zers tweezers
ti_s twice
te_g twig
ti_li twilight
te_l twill
te_n twin
ti_n twine
te_nj twinge
te_nkl twinkle

# Page 189 Column 1
te_rl twirl
te_st twist
te_ch twitch
te_te~ twitter
tufold twofold
tmpan tympanum
tip type
tipsete~ typesetter

# Page 189 Column 2
tpri typewriter
tpretn typewritten
tifoe typhoid
tifun typhoon
tifus typhus
tep^k typical
tapf typify
tipes typist

# Page 189 Column 3
tip^ok typographic
tip^oe typography
tiran^k tyrannical
tiransi tyrannicide
teraniz tyrannize
terane tyranny
tirant tyrant
tiro tyro
